#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
277094:5106,07/21/16 04:03:56,582,HLT_IsoMu24_v2,136.607983129,131.102759717
277096:5106,07/21/16 07:56:14,2085,HLT_IsoMu24_v2,333.417141173,320.667915284
277112:5106,07/21/16 21:30:44,155,HLT_IsoMu24_v2,17.975842644,17.339321164
277126:5107,07/22/16 01:36:48,18,HLT_IsoMu24_v2,4.462245757,1.967387079
277127:5107,07/22/16 01:46:10,901,HLT_IsoMu24_v2,191.419887781,184.009003510
277148:5108,07/22/16 10:31:04,616,HLT_IsoMu24_v2,133.973678377,128.191762293
277166:5109,07/22/16 18:10:23,354,HLT_IsoMu24_v2,74.383408313,70.666493871
277168:5109,07/22/16 20:34:53,2220,HLT_IsoMu24_v2,330.817796140,318.998364807
277180:5110,07/23/16 13:37:57,141,HLT_IsoMu24_v2,33.682040856,31.250413067
277194:5111,07/23/16 18:25:08,1938,HLT_IsoMu24_v2,386.460097272,367.175186737
277305:5116,07/25/16 01:23:14,683,HLT_IsoMu24_v2,163.032700689,154.261732814
277420:5117,07/25/16 19:44:15,261,HLT_IsoMu24_v2,64.664571149,60.844242235
277981:5151,08/01/16 11:54:09,76,HLT_IsoMu24_v2,5.009784896,4.600931283
277991:5151,08/01/16 15:45:06,90,HLT_IsoMu24_v2,5.296806620,4.753756131
277992:5151,08/01/16 16:23:35,311,HLT_IsoMu24_v2,17.825107535,16.938486586
278017:5154,08/01/16 23:26:43,510,HLT_IsoMu24_v2,131.804751306,124.854634219
278018:5154,08/02/16 02:52:01,1156,HLT_IsoMu24_v2,224.754993431,214.039045466
278167:5161,08/03/16 18:39:02,2167,HLT_IsoMu24_v2,328.165563175,314.531691678
278175:5161,08/04/16 08:44:58,88,HLT_IsoMu24_v2,9.277254220,9.044695185
278193:5162,08/04/16 12:31:44,155,HLT_IsoMu24_v2,36.343378612,34.581050612
278239:5163,08/04/16 23:23:01,663,HLT_IsoMu24_v2,141.693118183,133.159929732
278240:5163,08/05/16 03:46:54,1300,HLT_IsoMu24_v2,205.044697407,196.849175757
278273:5169,08/05/16 17:37:20,36,HLT_IsoMu24_v2,7.176788453,5.851969403
278274:5169,08/05/16 17:55:42,84,HLT_IsoMu24_v2,19.333201977,18.018314563
278288:5170,08/05/16 21:11:12,15,HLT_IsoMu24_v2,3.737593326,2.873670757
278289:5170,08/05/16 21:18:02,51,HLT_IsoMu24_v2,11.211340797,9.452153074
278290:5170,08/05/16 21:42:34,11,HLT_IsoMu24_v2,2.614348876,2.421569359
278308:5173,08/06/16 13:00:39,1740,HLT_IsoMu24_v2,328.801989051,313.102201295
278310:5173,08/07/16 00:47:36,708,HLT_IsoMu24_v2,91.337284006,88.422333085
278315:5179,08/07/16 10:56:52,693,HLT_IsoMu24_v2,149.634939899,137.449759493
278345:5181,08/08/16 00:13:39,746,HLT_IsoMu24_v2,163.336492991,150.105572778
278346:5181,08/08/16 05:08:15,117,HLT_IsoMu24_v2,22.192686224,21.125789319
278349:5181,08/08/16 06:27:06,613,HLT_IsoMu24_v2,99.110633013,94.737207242
278366:5181,08/08/16 10:36:47,453,HLT_IsoMu24_v2,61.593322822,59.422848201
278406:5183,08/08/16 17:15:50,1597,HLT_IsoMu24_v2,312.943141795,296.962078599
278509:5187,08/09/16 18:29:15,1467,HLT_IsoMu24_v2,294.742005860,273.441766226
278769:5197,08/13/16 06:38:56,30,HLT_IsoMu24_v2,7.798842443,7.207544992
278770:5197,08/13/16 06:54:00,767,HLT_IsoMu24_v2,170.946489210,163.785042964
278801:5198,08/13/16 14:43:37,38,HLT_IsoMu24_v2,10.118393415,7.802784220
278802:5198,08/13/16 15:01:05,17,HLT_IsoMu24_v2,4.030710208,1.706479830
278803:5198,08/13/16 15:10:53,318,HLT_IsoMu24_v2,77.296182679,71.465332105
278804:5198,08/13/16 17:20:06,4,HLT_IsoMu24_v2,0.911346685,0.747048856
278805:5198,08/13/16 17:23:57,274,HLT_IsoMu24_v2,59.097473620,55.420116608
278808:5198,08/13/16 19:25:19,1791,HLT_IsoMu24_v2,280.067796432,269.634152178
278820:5199,08/14/16 11:00:51,1517,HLT_IsoMu24_v2,298.269702256,286.511292999
278822:5199,08/14/16 21:52:47,1627,HLT_IsoMu24_v2,197.309521152,191.158369489
278873:5205,08/15/16 23:25:45,60,HLT_IsoMu24_v2,11.252200035,2.011529344
278874:5205,08/15/16 23:51:53,477,HLT_IsoMu24_v2,86.949604004,81.773427401
278875:5205,08/16/16 03:01:20,833,HLT_IsoMu24_v2,120.213984079,114.871994480
278923:5206,08/16/16 12:16:32,413,HLT_IsoMu24_v2,102.909605962,98.543102629
278957:5209,08/16/16 21:31:36,149,HLT_IsoMu24_v2,37.726033874,36.164158585
278962:5210,08/17/16 01:08:31,341,HLT_IsoMu24_v2,81.732524519,75.976997966
278963:5210,08/17/16 03:24:57,174,HLT_IsoMu24_v2,38.538080098,37.047064097
278969:5211,08/17/16 07:16:52,1386,HLT_IsoMu24_v2,295.325533437,282.491941636
278975:5211,08/17/16 16:23:16,848,HLT_IsoMu24_v2,125.667471934,120.000479166
278976:5211,08/17/16 21:58:16,20,HLT_IsoMu24_v2,2.654952431,2.555233406
278986:5213,08/18/16 04:02:59,129,HLT_IsoMu24_v2,33.648592206,31.547718910
279024:5219,08/18/16 22:31:53,301,HLT_IsoMu24_v2,52.215805993,49.595681552
279029:5219,08/19/16 02:19:40,260,HLT_IsoMu24_v2,40.068451658,38.088365375
279071:5222,08/19/16 15:40:07,174,HLT_IsoMu24_v2,23.486253215,22.581050882
279080:5223,08/19/16 22:42:50,157,HLT_IsoMu24_v2,13.232074036,12.772790221
279115:5229,08/20/16 22:08:09,407,HLT_IsoMu24_v2,87.596122860,84.298417622
279116:5229,08/21/16 01:36:03,448,HLT_IsoMu24_v2,94.459612186,90.639285447
279479:5247,08/25/16 04:33:24,105,HLT_IsoMu24_v2,6.264019902,5.926778960
279588:5251,08/25/16 21:08:11,1160,HLT_IsoMu24_v2,236.866957548,228.517079959
279653:5253,08/26/16 14:05:52,181,HLT_IsoMu24_v2,45.026377119,43.391596572
279654:5253,08/26/16 15:21:58,1245,HLT_IsoMu24_v2,248.402862960,240.382934027
279656:5253,08/26/16 23:49:40,43,HLT_IsoMu24_v2,6.732125224,5.683778790
279658:5253,08/27/16 01:35:19,712,HLT_IsoMu24_v2,96.052472616,93.394296273
279667:5254,08/27/16 09:08:23,966,HLT_IsoMu24_v2,215.828642727,208.731642042
279681:5256,08/27/16 21:57:02,28,HLT_IsoMu24_v2,7.254945467,6.669545475
279682:5256,08/27/16 22:11:02,33,HLT_IsoMu24_v2,8.599451071,7.775812962
279683:5256,08/27/16 22:32:16,26,HLT_IsoMu24_v2,6.702402955,6.362365395
279684:5256,08/27/16 22:46:58,22,HLT_IsoMu24_v2,5.548222672,5.302872309
279685:5256,08/27/16 23:07:12,208,HLT_IsoMu24_v2,50.022135602,48.417316092
279691:5257,08/28/16 03:41:26,43,HLT_IsoMu24_v2,10.244719073,9.655603763
279694:5257,08/28/16 04:03:09,2235,HLT_IsoMu24_v2,418.408537161,406.418024415
279715:5258,08/28/16 22:01:34,577,HLT_IsoMu24_v2,133.151907299,127.780981794
279716:5258,08/29/16 02:17:06,1638,HLT_IsoMu24_v2,262.761483742,255.981981459
279760:5261,08/29/16 20:21:24,655,HLT_IsoMu24_v2,158.633956094,153.501771568
279766:5261,08/30/16 01:08:36,1689,HLT_IsoMu24_v2,276.274003995,268.330897382
279767:5261,08/30/16 12:08:03,776,HLT_IsoMu24_v2,91.848620290,89.813165616
279794:5264,08/30/16 23:41:02,1024,HLT_IsoMu24_v2,229.992963594,223.093491877
279823:5265,08/31/16 10:00:39,335,HLT_IsoMu24_v2,84.378471728,81.827884397
279841:5266,08/31/16 15:23:17,2040,HLT_IsoMu24_v2,392.674269544,380.358689709
